강의분류,강의명,조회수,조회수_숫자
제조업,[Hello DT!] 내 일을 바꾸는 파이썬 업무 자동화 - 실전편,조회수 : 315,315
제조업,사업 확장과 신용 관리,조회수 : 305,305
제조업,[HD]Facebook(페이스북) 마케팅 제대로 배우기,조회수 : 118,118
건설업,돈을 부르는 첫 걸음 인스타그램 운영 초급 과정,조회수 : 699,699
제조업,2024 Excel을 활용한 현금흐름표작성 및 분석실무,조회수 : 217,217
정보통신,4050을 위한 왕초보 포토샵 레벨업 강좌,조회수 : 554,554
과학 기술 서비스업,[주거복지사] 2023 주거복지사 시험대비,조회수 : 140,140
건설업,강연으로 부수입 만들기 - 초급 편,조회수 : 272,272
예술,시즌제 드라마 CASE STUDY : 검법남녀 - 이유 있는 시즌 드라마의 성공법칙,조회수 : 438,438
운수 및 창고업,[HD]정보처리기능사 실기 2과목 프로그래밍언어 활용 (2023년개정) Part.2 JAVA,조회수 : 64,64
예술,1인 크리에이터라면 알아야 할 저작권 기본 이해- 1인 크리에이터를 위한 저작권 노하우,조회수 : 1246,1246
예술,[HD]GTQ 3급 자격증 따기 - 기출문제 (2022),조회수 : 248,248
건설업,웹툰 회사 이런 일을 해요: 웹툰 산업 차별화 전략 - 웹툰 회사에서는 어떤 일을 할까?,조회수 : 437,437
건설업,[HD]No code(노코드)! AppSheet(앱시트)로 코딩없이 전문가 수준 앱 만들기 (입문) Part.2 기본키와 뷰,조회수 : 73,73
건설업,콘텐츠 트렌드 SPO,조회수 : 226,226
제조업,부와 권력이 있을地圖,조회수 : 259,259
마케팅,40.50대가 3일만에 마스터하는 매출증가 영상편집 비법,조회수 : 229,229
공급업,40~50대가 집에서 만들 수 있는 간단한 칵테일,조회수 : 491,491
마케팅,인공지능 서비스와 발전방향 - AI(인공지능) 서비스와 콘텐츠,조회수 : 5422,5422
운수 및 창고업,로그분석 - 분석 실습,조회수 : 554,554
정보통신,핵심만 콕! 회사의 가치를 높여주는 홍보전략,조회수 : 147,147
예술,[HD]기출문제 풀이로 배우는 ITQ PowerPoint (2023년),조회수 : 184,184
건설업,인생 재도약 전직지원 서비스,조회수 : 682,682
예술,살맛나는 인생 역전 개인택시,조회수 : 196,196
건설업,2024 박문각 주택관리사 - 모의고사 - 회계원리,조회수 : 3675,3675
제조업,[주거복지사] 주택정책과 금융,조회수 : 149,149
운수 및 창고업,시즌제 드라마 기획의 노하우 - 이유 있는 시즌 드라마의 성공법칙,조회수 : 603,603
건설업,1강 방송영상 콘텐츠의 다문화 수용성,조회수 : 1169,1169
운수 및 창고업,웹툰 회사 이런 일을 해요: 해외사업 - 웹툰 회사에서는 어떤 일을 할까?,조회수 : 502,502
제조업,비즈니스 모델의 트렌드 ESG,조회수 : 217,217
정보통신,커리어 빌드업의 기술 커넥팅,조회수 : 149,149
제조업,4차 산업혁명 AI 딥 러닝 그리고 뉴 콘텐츠 - AI를 적용한 사운드 콘텐츠 알아보기,조회수 : 1899,1899
